,has_null,wave,gender,age,age_o,d_age,race,same_race,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sincere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match
1584,0,4,male,24.0,34.0,10,european/caucasian-american,1,1.0,1.0,electrical engineering,10.0,10.0,30.0,20.0,10.0,20.0,5.0,5.0,5.0,5.0,8.0,8.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,7.0,7.0,8.0,7.0,5.0,8.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.32,5.0,2.0,3.0,6.0,5.0,0.0,0,1,0
1585,0,4,male,24.0,22.0,2,european/caucasian-american,1,1.0,1.0,electrical engineering,15.0,20.0,20.0,20.0,15.0,10.0,9.0,7.0,7.0,9.0,6.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,9.0,6.0,7.0,6.0,5.0,3.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.41,5.0,2.0,3.0,5.0,2.0,0.0,0,1,0
1586,0,4,male,24.0,23.0,1,european/caucasian-american,0,1.0,1.0,electrical engineering,10.0,25.0,20.0,10.0,20.0,15.0,7.0,4.0,7.0,2.0,2.0,2.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,7.0,7.0,5.0,5.0,4.0,3.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.51,5.0,2.0,3.0,5.0,3.0,0.0,0,0,0
1587,0,4,male,24.0,26.0,2,european/caucasian-american,0,1.0,1.0,electrical engineering,10.0,20.0,15.0,20.0,20.0,15.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,7.0,8.0,7.0,7.0,4.0,7.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.6,5.0,2.0,3.0,7.0,5.0,1.0,1,1,1
1588,0,4,male,24.0,27.0,3,european/caucasian-american,0,1.0,1.0,electrical engineering,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,6.0,8.0,8.0,7.0,6.0,2.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.31,5.0,2.0,3.0,6.0,6.0,0.0,0,1,0
1589,0,4,male,24.0,28.0,4,european/caucasian-american,1,1.0,1.0,electrical engineering,10.0,10.0,20.0,20.0,20.0,20.0,7.0,7.0,7.0,8.0,7.0,7.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,8.0,7.0,6.0,7.0,6.0,6.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.55,5.0,2.0,3.0,7.0,5.0,0.0,1,1,1
1590,0,4,male,24.0,25.0,1,european/caucasian-american,0,1.0,1.0,electrical engineering,20.0,20.0,20.0,20.0,10.0,10.0,7.0,10.0,10.0,10.0,8.0,10.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,6.0,7.0,6.0,7.0,5.0,4.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.56,5.0,2.0,3.0,6.0,4.0,0.0,0,1,0
1591,0,4,male,24.0,35.0,11,european/caucasian-american,0,1.0,1.0,electrical engineering,10.0,32.0,20.0,12.0,11.0,15.0,5.0,7.0,9.0,6.0,7.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,6.0,7.0,5.0,7.0,6.0,4.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.83,5.0,2.0,3.0,6.0,5.0,0.0,0,0,0
1592,0,4,male,24.0,32.0,8,european/caucasian-american,0,1.0,1.0,electrical engineering,30.0,30.0,30.0,5.0,0.0,5.0,4.0,0.0,8.0,7.0,7.0,6.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,7.0,8.0,9.0,8.0,8.0,5.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.76,5.0,2.0,3.0,7.0,5.0,0.0,1,1,1
1593,0,4,male,24.0,30.0,6,european/caucasian-american,1,1.0,1.0,electrical engineering,20.0,25.0,15.0,15.0,15.0,10.0,6.0,6.0,6.0,4.0,6.0,1.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,7.0,7.0,6.0,5.0,4.0,3.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.33,5.0,2.0,3.0,5.0,3.0,0.0,0,0,0
1594,0,4,male,24.0,22.0,2,european/caucasian-american,1,1.0,1.0,electrical engineering,15.0,20.0,20.0,20.0,5.0,20.0,10.0,8.0,6.0,7.0,10.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,8.0,6.0,8.0,7.0,7.0,5.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.44,5.0,2.0,3.0,8.0,2.0,0.0,1,1,1
1595,0,4,male,24.0,23.0,1,european/caucasian-american,1,1.0,1.0,electrical engineering,15.0,15.0,20.0,15.0,15.0,20.0,7.0,9.0,7.0,6.0,7.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,7.0,7.0,6.0,6.0,7.0,3.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.55,5.0,2.0,3.0,5.0,4.0,0.0,0,0,0
1596,0,4,male,24.0,23.0,1,european/caucasian-american,1,1.0,1.0,electrical engineering,15.0,15.0,20.0,15.0,20.0,15.0,8.0,10.0,10.0,5.0,10.0,8.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,8.0,9.0,7.0,8.0,5.0,4.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.31,5.0,2.0,3.0,7.0,6.0,0.0,1,0,0
1597,0,4,male,24.0,27.0,3,european/caucasian-american,1,1.0,1.0,electrical engineering,25.0,15.0,20.0,20.0,20.0,0.0,9.0,9.0,8.0,10.0,8.0,7.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,6.0,5.0,7.0,6.0,6.0,4.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.39,5.0,2.0,3.0,5.0,3.0,0.0,0,0,0
1598,0,4,male,24.0,23.0,1,european/caucasian-american,0,1.0,1.0,electrical engineering,15.0,21.0,18.0,18.0,10.0,18.0,7.0,7.0,6.0,6.0,4.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,6.0,8.0,7.0,6.0,5.0,3.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.52,5.0,2.0,3.0,5.0,4.0,0.0,0,1,0
1599,0,4,male,24.0,25.0,1,european/caucasian-american,0,1.0,1.0,electrical engineering,15.0,3.0,50.0,20.0,2.0,10.0,9.0,7.0,8.0,7.0,6.0,7.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,8.0,7.0,7.0,9.0,8.0,4.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.39,5.0,2.0,3.0,7.0,5.0,0.0,1,0,0
1600,0,4,male,24.0,29.0,5,european/caucasian-american,1,1.0,1.0,electrical engineering,10.0,20.0,20.0,20.0,20.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,8.0,7.0,6.0,6.0,8.0,2.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.72,5.0,2.0,3.0,6.0,4.0,0.0,0,1,0
1601,0,4,male,24.0,29.0,5,european/caucasian-american,1,1.0,1.0,electrical engineering,14.0,20.0,18.0,24.0,18.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,8.0,8.0,7.0,7.0,6.0,4.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,0.09,5.0,2.0,3.0,7.0,4.0,0.0,1,0,0
1603,0,4,male,25.0,22.0,3,asian/pacific islander/asian-american,0,1.0,1.0,film,15.0,20.0,20.0,20.0,15.0,10.0,6.0,7.0,7.0,6.0,7.0,7.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,7.0,5.0,4.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.56,5.0,3.0,2.0,7.0,5.0,0.0,1,0,0
1604,0,4,male,25.0,23.0,2,asian/pacific islander/asian-american,0,1.0,1.0,film,10.0,25.0,20.0,10.0,20.0,15.0,7.0,10.0,10.0,6.0,10.0,6.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,8.0,3.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.59,5.0,3.0,2.0,7.0,5.0,0.0,1,1,1
1605,0,4,male,25.0,26.0,1,asian/pacific islander/asian-american,1,1.0,1.0,film,10.0,20.0,15.0,20.0,20.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,7.0,7.0,7.0,5.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.8,5.0,3.0,2.0,7.0,5.0,0.0,1,0,0
1606,0,4,male,25.0,27.0,2,asian/pacific islander/asian-american,1,1.0,1.0,film,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,8.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,7.0,7.0,7.0,5.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.34,5.0,3.0,2.0,7.0,5.0,0.0,1,1,1
1607,0,4,male,25.0,28.0,3,asian/pacific islander/asian-american,0,1.0,1.0,film,10.0,10.0,20.0,20.0,20.0,20.0,6.0,9.0,8.0,8.0,8.0,7.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,6.0,8.0,5.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.6,5.0,3.0,2.0,8.0,5.0,0.0,1,0,0
1608,0,4,male,25.0,25.0,0,asian/pacific islander/asian-american,0,1.0,1.0,film,20.0,20.0,20.0,20.0,10.0,10.0,6.0,10.0,10.0,8.0,8.0,8.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,7.0,5.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.66,5.0,3.0,2.0,8.0,5.0,0.0,1,1,1
1609,0,4,male,25.0,35.0,10,asian/pacific islander/asian-american,0,1.0,1.0,film,10.0,32.0,20.0,12.0,11.0,15.0,4.0,8.0,8.0,9.0,6.0,8.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,7.0,7.0,5.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.81,5.0,3.0,2.0,8.0,5.0,0.0,1,0,0
1610,0,4,male,25.0,32.0,7,asian/pacific islander/asian-american,0,1.0,1.0,film,30.0,30.0,30.0,5.0,0.0,5.0,5.0,5.0,9.0,6.0,5.0,5.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,6.0,7.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.65,5.0,3.0,2.0,8.0,5.0,0.0,1,0,0
1611,0,4,male,25.0,30.0,5,asian/pacific islander/asian-american,0,1.0,1.0,film,20.0,25.0,15.0,15.0,15.0,10.0,6.0,8.0,7.0,5.0,6.0,2.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,7.0,4.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.59,5.0,3.0,2.0,7.0,5.0,0.0,1,0,0
1612,0,4,male,25.0,22.0,3,asian/pacific islander/asian-american,0,1.0,1.0,film,15.0,20.0,20.0,20.0,5.0,20.0,6.0,7.0,7.0,7.0,5.0,7.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,7.0,8.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.73,5.0,3.0,2.0,7.0,5.0,0.0,1,1,1
1613,0,4,male,25.0,23.0,2,asian/pacific islander/asian-american,0,1.0,1.0,film,15.0,15.0,20.0,15.0,15.0,20.0,2.0,4.0,7.0,8.0,8.0,4.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,7.0,8.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.27,5.0,3.0,2.0,6.0,6.0,0.0,1,0,0
1614,0,4,male,25.0,23.0,2,asian/pacific islander/asian-american,0,1.0,1.0,film,15.0,15.0,20.0,15.0,20.0,15.0,5.0,10.0,10.0,10.0,10.0,10.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,7.0,6.0,6.0,7.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.3,5.0,3.0,2.0,5.0,5.0,0.0,0,0,0
1615,0,4,male,25.0,27.0,2,asian/pacific islander/asian-american,0,1.0,1.0,film,25.0,15.0,20.0,20.0,20.0,0.0,8.0,10.0,10.0,8.0,8.0,6.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,6.0,8.0,3.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.58,5.0,3.0,2.0,5.0,5.0,0.0,0,0,0
1616,0,4,male,25.0,23.0,2,asian/pacific islander/asian-american,1,1.0,1.0,film,15.0,21.0,18.0,18.0,10.0,18.0,6.0,7.0,7.0,5.0,6.0,7.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,6.0,8.0,3.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.4,5.0,3.0,2.0,5.0,5.0,0.0,1,1,1
1618,0,4,male,25.0,29.0,4,asian/pacific islander/asian-american,0,1.0,1.0,film,10.0,20.0,20.0,20.0,20.0,10.0,7.0,9.0,9.0,7.0,9.0,7.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,6.0,8.0,3.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.6,5.0,3.0,2.0,8.0,5.0,0.0,1,1,1
1619,0,4,male,25.0,29.0,4,asian/pacific islander/asian-american,0,1.0,1.0,film,14.0,20.0,18.0,24.0,18.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,7.0,7.0,3.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,0.34,5.0,3.0,2.0,8.0,5.0,0.0,1,0,0
1621,0,4,male,28.0,22.0,6,european/caucasian-american,1,4.0,6.0,film,15.0,20.0,20.0,20.0,15.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,6.0,7.0,8.0,6.0,9.0,8.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,0.76,6.0,3.0,3.0,5.0,3.0,0.0,0,1,0
1625,0,4,male,28.0,28.0,0,european/caucasian-american,1,4.0,6.0,film,10.0,10.0,20.0,20.0,20.0,20.0,6.0,6.0,7.0,6.0,7.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,5.0,5.0,8.0,5.0,10.0,5.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,0.67,6.0,3.0,3.0,4.0,2.0,0.0,0,0,0
1626,0,4,male,28.0,25.0,3,european/caucasian-american,0,4.0,6.0,film,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,8.0,9.0,8.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,6.0,7.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,0.76,6.0,3.0,3.0,5.0,5.0,0.0,0,0,0
1630,0,4,male,28.0,22.0,6,european/caucasian-american,1,4.0,6.0,film,15.0,20.0,20.0,20.0,5.0,20.0,8.0,7.0,7.0,7.0,7.0,8.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,7.0,8.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,0.5,6.0,3.0,3.0,8.0,6.0,0.0,1,1,1
1632,0,4,male,28.0,23.0,5,european/caucasian-american,1,4.0,6.0,film,15.0,15.0,20.0,15.0,20.0,15.0,4.0,10.0,10.0,10.0,10.0,8.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,6.0,6.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,0.52,6.0,3.0,3.0,6.0,5.0,0.0,0,0,0
1633,0,4,male,28.0,27.0,1,european/caucasian-american,1,4.0,6.0,film,25.0,15.0,20.0,20.0,20.0,0.0,7.0,10.0,10.0,10.0,7.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,5.0,7.0,8.0,5.0,9.0,6.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,0.36,6.0,3.0,3.0,6.0,6.0,0.0,0,0,0
1637,0,4,male,28.0,29.0,1,european/caucasian-american,1,4.0,6.0,film,14.0,20.0,18.0,24.0,18.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,5.0,7.0,8.0,7.0,8.0,8.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,0.31,6.0,3.0,3.0,5.0,6.0,0.0,0,0,0
1656,0,5,female,20.0,22.0,2,other,1,1.0,1.0,sociology,40.0,15.0,10.0,20.0,5.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,7.0,7.0,7.0,9.0,7.0,8.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,-0.29,4.0,4.0,8.0,8.0,8.0,0.0,1,1,1
1657,0,5,female,20.0,18.0,2,other,0,1.0,1.0,sociology,50.0,10.0,20.0,5.0,5.0,10.0,9.0,7.0,7.0,6.0,4.0,5.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,4.0,8.0,7.0,4.0,9.0,3.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,-0.37,4.0,4.0,8.0,4.0,5.0,0.0,0,1,0
1658,0,5,female,20.0,22.0,2,other,0,1.0,1.0,sociology,40.0,10.0,10.0,10.0,10.0,20.0,6.0,7.0,7.0,4.0,4.0,5.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,5.0,1.0,6.0,2.0,8.0,1.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,0.26,4.0,4.0,8.0,1.0,2.0,0.0,0,1,0
1659,0,5,female,20.0,21.0,1,other,0,1.0,1.0,sociology,20.0,15.0,20.0,15.0,12.0,18.0,9.0,8.0,9.0,9.0,8.0,7.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,0.34,4.0,4.0,8.0,8.0,5.0,0.0,1,1,1
1660,0,5,female,20.0,22.0,2,other,0,1.0,1.0,sociology,25.0,40.0,15.0,10.0,5.0,5.0,7.0,8.0,7.0,6.0,6.0,6.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,5.0,7.0,9.0,6.0,8.0,7.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,0.3,4.0,4.0,8.0,8.0,5.0,0.0,1,1,1
1661,0,5,female,20.0,22.0,2,other,0,1.0,1.0,sociology,25.0,25.0,25.0,15.0,5.0,5.0,10.0,7.0,9.0,10.0,8.0,10.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,10.0,6.0,7.0,8.0,8.0,8.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,-0.24,4.0,4.0,8.0,8.0,8.0,1.0,1,1,1
1662,0,5,female,20.0,21.0,1,other,0,1.0,1.0,sociology,40.0,15.0,10.0,20.0,10.0,5.0,10.0,9.0,8.0,9.0,9.0,7.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,7.0,9.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,0.44,4.0,4.0,8.0,9.0,9.0,0.0,1,1,1
1665,0,5,female,20.0,19.0,1,other,0,1.0,1.0,sociology,25.0,10.0,20.0,20.0,10.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,2.0,7.0,6.0,2.0,5.0,1.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,0.35,4.0,4.0,8.0,2.0,5.0,0.0,0,0,0
1666,0,5,female,21.0,22.0,1,european/caucasian-american,0,3.0,8.0,economics,40.0,15.0,10.0,20.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,25.0,15.0,5.0,8.0,10.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,5.0,5.0,5.0,3.0,7.0,10.0,9.0,8.0,7.0,2.0,6.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,0.08,7.0,20.0,0.0,8.0,1.0,1.0,1,0,0
1667,0,5,female,21.0,18.0,3,european/caucasian-american,0,3.0,8.0,economics,50.0,10.0,20.0,5.0,5.0,10.0,6.0,5.0,5.0,4.0,4.0,5.0,15.0,15.0,25.0,25.0,15.0,5.0,8.0,10.0,10.0,8.0,9.0,5.0,9.0,6.0,5.0,5.0,2.0,5.0,3.0,7.0,10.0,9.0,8.0,7.0,2.0,6.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,-0.22,7.0,20.0,0.0,4.0,6.0,0.0,0,0,0
1668,0,5,female,21.0,22.0,1,european/caucasian-american,0,3.0,8.0,economics,40.0,10.0,10.0,10.0,10.0,20.0,7.0,6.0,7.0,5.0,5.0,8.0,15.0,15.0,25.0,25.0,15.0,5.0,8.0,10.0,10.0,8.0,9.0,5.0,9.0,8.0,1.0,10.0,1.0,5.0,3.0,7.0,10.0,9.0,8.0,7.0,2.0,6.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,0.85,7.0,20.0,0.0,1.0,4.0,0.0,0,1,0
